Edad,Sexo,Escuela,Tiempo_Estudio,Apoyo_Academico,Promedio_Matematicas,Dificultad_Algebra,Aspectos_Dificiles,Ansiedad_Examen,Ensenanza_Maestro,Apoyo_Familiar,Lugar_Estudio,Uso_Tecnologia,Metodos_Diferentes,Mejoras_Aprendizaje
14,Masculino,Privada,Menos de 1 hora,A veces,Menos de 6,Muy difícil,['Comprensión de conceptos abstractos'],Siempre,Muy clara y fácil de entender,A veces,Sí,"Sí, con frecuencia",Sí,Otras estrategias
15,Prefiero no decirlo,Pública,Menos de 1 hora,No,Entre 8 y 9,Muy fácil,"['Resolución de ecuaciones', 'Comprensión de conceptos abstractos']",A veces,Muy difícil de entender,"Sí, constantemente",Sí,No,No,Más ejercicios prácticos
14,Femenino,Pública,Menos de 1 hora,No,Entre 6 y 7,Muy fácil,"['Resolución de ecuaciones', 'Operaciones con letras y números', 'Problemas de aplicación']",A veces,Muy difícil de entender,No,No,"Sí, con frecuencia",No,Más apoyo del maestro
15,Femenino,Privada,4-6 horas,No,Entre 6 y 7,Muy fácil,['Problemas de aplicación'],Nunca,Muy clara y fácil de entender,No,No,No,No,Clases más dinámicas e interactivas
16,Femenino,Pública,1-3 horas,"Sí, regularmente",Entre 6 y 7,Muy fácil,['Operaciones con letras y números'],Rara vez,A veces difícil de entender,"Sí, constantemente",No,A veces,Sí,Otras estrategias
16,Femenino,Pública,Menos de 1 hora,No,Entre 6 y 7,Fácil,"['Problemas de aplicación', 'Operaciones con letras y números']",Rara vez,Muy clara y fácil de entender,A veces,Sí,A veces,Sí,Más apoyo del maestro
14,Prefiero no decirlo,Privada,Menos de 1 hora,A veces,10,Muy difícil,"['Operaciones con letras y números', 'Comprensión de conceptos abstractos', 'Resolución de ecuaciones']",Rara vez,Muy clara y fácil de entender,"Sí, constantemente",No,No,Sí,Otras estrategias
14,Prefiero no decirlo,Privada,Menos de 1 hora,"Sí, regularmente",10,Fácil,['Resolución de ecuaciones'],Rara vez,Muy difícil de entender,"Sí, constantemente",Sí,No,Sí,Más apoyo del maestro
14,Femenino,Privada,Menos de 1 hora,"Sí, regularmente",Menos de 6,Muy difícil,"['Resolución de ecuaciones', 'Operaciones con letras y números']",Nunca,A veces difícil de entender,"Sí, constantemente",Sí,A veces,Sí,Otras estrategias
15,Femenino,Pública,4-6 horas,A veces,Entre 8 y 9,Difícil,['Resolución de ecuaciones'],Rara vez,Muy clara y fácil de entender,A veces,Sí,No,Sí,Otras estrategias
